[2024-06-11 12:50:52,717: INFO: main: welcome to our custom log]
[2024-06-11 17:18:25,931: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-11 17:18:25,941: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-11 17:18:25,944: INFO: common: created directory at: artifacts]
[2024-06-11 17:20:16,015: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-11 17:20:16,017: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-11 17:20:16,019: INFO: common: created directory at: artifacts]
[2024-06-11 17:21:27,043: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-11 17:21:27,047: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-11 17:21:27,048: INFO: common: created directory at: artifacts]
[2024-06-11 17:21:27,048: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-11 17:21:32,973: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-11 17:21:32,975: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-11 17:21:32,985: INFO: common: created directory at: artifacts]
[2024-06-11 17:21:32,991: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-11 17:23:10,355: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-06-11 17:23:10,357: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-11 17:23:10,358: INFO: common: created directory at: artifacts]
[2024-06-11 17:23:10,359: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-11 17:23:10,359: INFO: 1630606363: Downloading data from https://drive.google.com/file/d/1hetGbKR9sCqregkcIAk6-3-AapZ9mpOo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-11 17:25:25,269: INFO: 1630606363: Downloaded data from https://drive.google.com/file/d/1hetGbKR9sCqregkcIAk6-3-AapZ9mpOo/view?usp=sharing into file artifacts/data_ingestion/data.zip]
